VOA Reference,Property Description,Address1,Address2,Address3,Address4,Address5,Post Code,Empty Date
374000901,OFFICE AND PREMISES,First Floor,9A Plawsworth Road,Sacriston,Durham,,DH7 6HJ,20080630
380590051501,HALL AND PREMISES,The Old School,Rokeby,Barnard Castle,Co Durham,,DL12 9SE,19931206
39059205300,WORKSHOP,Botany Bay Workshop,Romaldkirk,Barnard Castle,Co Durham,,DL12 9UU,20151121
410051051001,HOSTEL AND PREMISES,Woodcraft Folk,Hamsterley Forest,Bedburn Hamsterley,Bishop Auckland,Co Durham,DL13 3NN,20131001
420091051501,STORE AND PREMISES,Brookside,Staindrop,Darlingtonm,Co Durham,,DL2 3NE,19930406
420135550060,STORE AND PREMISES,Unit 4,Cleatlam Lane,Staindrop,Darlington,Co Durham,DL2 3JU,20110601
430084052001,PUBLIC HOUSE AND PREMISES (UNDERGOING ALTERATIONS),The White Swan,Bridge End,Startforth,Barnard Castle,Co Durham,DL12 9BE,20150211
430084052002,PROPERTY UNDERGOING ALTERATION,Riverside @ The Swan,Bridge End,Startforth,Barnard Castle,Co Durham,DL12 9BE,20120401
432554500,SHOP AND PREMISES,Unit 15,St Cuthberts Walk,Chester Le Street,Co Durham,,DH3 3YQ,20160115
432555000,SHOP AND PREMISES,Unit 16,St Cuthberts Walk,Chester Le Street,Co Durham,,DH3 3YQ,20151211
432556000,SHOP AND PREMISES,Unit 2,St Cuthberts Walk,Chester Le Street,Co Durham,,DH3 3YQ,20150421
432556500,SHOP AND PREMISES,Unit 3,St Cuthberts Walk,Chester Le Street,Co Durham,,DH3 3YQ,20140324
432557000,SHOP AND PREMISES,Unit 4,St Cuthberts Walk,Chester Le Street,Co Durham,,DH3 3YQ,20141112
438550200,STORES,Blythes Brickworks (Vacant),Station Lane,Birtley,Chester Le Street,Co Durham,DH2 1DQ,19951110
490845050501,WORKSHOP AND PREMISES,Cow Close,Woodland,Bishop Auckland,Co Durham,,DL13 5RM,20000401
495550000,CLUB AND PREMISES,The Club House,Waldridge,Chester Le Street,Co Durham,,DH2 3RZ,20041004
512550600,WORKSHOP AND PREMISES,Vacant Pt Bede House,Westline Ind Estate,Birtley,Chester Le Street,Co Durham,DH2 1AU,20091203
512552000,WORKSHOP AND PREMISES,Site 4,Unit A,Westline Ind Estate,Birtley,Chester Le Street Co Durham,DH2 1AU,20150228
512565401,WORKSHOP AND PREMISES,Unit 2,Westline Ind Estate,Birtley,Chester Le Street,Co Durham,DH2 1AU,20031130
512565402,WORKSHOP AND PREMISES,Vacant Part,Unit 2,Westline Ind Estate,Birtley,Chester Le Street Co Durham,DH2 1AU,20010607
512566000,WORKSHOP,The Compressor House,Westline Ind Estate,Birtley,Chester Le Street,Co Durham,DH2 1AU,20100401
512566600,WORKSHOP AND PREMISES,Site 4,Unit H,Westline Ind Estate,Birtley,Chester Le Street Co Durham,DH2 1AU,20150601
512567000,LAND USED FOR STORAGE,Site 11,Westline Ind Estate,Birtley,Chester Le Street,Co Durham,DH2 1AU,20100701
531051000,PUBLIC HOUSE AND PREMISES,The Floaters Mill,Woodstone Village,Fence Houses,Houghton Le Spring,Tyne And Wear,DH4 6BQ,20170215
ANN0030900001ND,WAREHOUSE AND PREMISES,Croft House,Amos Drive,Greencroft Industrial Park,Greencroft Stanley,Durham,DH9 7YE,20150331
ANN0259050000,FIRE DAMAGED,Smiths Arms,Catchgate,Stanley,Co Durham,,DH9 8LB,20090809
ANN0489050300ND,CLUB HOUSE AND PREMISES,North Durham Motor Cycle Club,Dunn Street,Annfield Plain,Stanley,Co Durham,DH9 8JX,20150401
ANN0501051600ND,WORKSHOP AND PREMISES,Unit 1G,Durham Road,Annfield Plain,Stanley,Co Durham,DH9 8JQ,20091002
ANN0502050300ND,OFFICES AND PREMISES,Adj 1H,R/o Durham Road,Annfield Plain,Stanley,Co Durham,DH9 7UG,20070801
ANN0693000500ND,BANK AND PREMISES,LLoyds TSB Bank PLC,5 Front Street,Annfield Plain,Stanley,Co Durham,DH9 7SY,20160609
ANN0693050100ND,SHOP AND PREMISES,26 Front Street,Annfield Plain,Stanley,Co Durham,,DH9 7SX,20150901
ANN0752700005ND,OFFICES AND PREMISES,Unit 5,The Greenhouse,Greencroft Industrial Park,Greencroft,Stanley Co Durham,DH9 7XN,20161231
ANN0752950200ND,WORKSHOP AND PREMISES,Unit 12,Greencroft Industrial Estate,Annfield Plain,Stanley,Co Durham,DH9 7XP,20121001
ANN0752950810ND,WAREHOUSE AND PREMISES,Unit 8,Greencroft Industrial Estate,Annfield Plain,Stanley,Co Durham,DH9 7XP,20160401
ANN0752951000ND,WORKSHOP AND PREMISES,Unit 23,Greencroft Industrial Estate,Annfield Plain,Stanley,Co Durham,DH9 7XP,20160401
ANN0792500004ND,WAREHOUSE AND PREMISES,Unit 9,Site 3,Hare Law Industrial Estate,Hare Law,Stanley  Co Durham,DH9 8UJ,20150301
ANN0792500005ND,WAREHOUSE AND PREMISES,Unit 10,Site 3,Hare Law Industrial Estate,Hare Law,Stanley Co Durham,DH9 8UT,20150201
ANN0792500010ND,WAREHOUSE AND PREMISES,Units 2 -3,Site 3,Hare Law Industrial Estate,Hare Law,Stanley Durham,DH9 8UJ,20150401
ANN0792500015ND,STORE AND PREMISES,Unit 8,Site 3,Hare Law Industrial Estate,Hare Law,Stanley Durham,DH9 8UT,20080408
ANN0792500016ND,WAREHOUSE AND PREMISES,Unit 6 Site 3,Hare Law Industrial Estate,Hare Law,Stanley,Durham,DH9 8UT,20120201
ANN0792500017ND,STORE AND PREMISES,Unit 7Site 3,Hare Law Industrial Estate,Hare Law,Stanley,Durham,DH9 8UT,20080709
ANN1172150300ND,FACTORY AND PREMISES,Site 15,Morrison Busty North Ind Est,Annfield Plain,Stanley,Co Durham,DH9 7RU,20160401
ANN1172150400ND,WORKSHOP AND PREMISES,Compound 11,Morrison Busty North Ind Est,Annfield Plain,Stanley,Co Durham,DH9 7RX,20141130
ANN1172150404ND,LAND USED FOR STORAGE AND PREMISES,Site A4,Morrison Busty North Ind Est,Annfield Plain,Stanley,Co Durham,DH9 7RU,20170310
ANN1172351000ND,LAND USED FOR STORAGE,Opposite Site 1,Morrison Service Ind Estate,Annfield Plain,Stanley,Co Durham,DH9 7RX,19900401
ANN1172450300ND,STORE AND PREMISES,Compound A Rear Of,Morrison Road,Annfield Plain,Stanley,Co Durham,DH9 7RX,20130820
ANN1172450400ND,LAND USED FOR STORAGE,Compound C Rear Of,Morrison Road,Annfield Plain,Stanley,Co Durham,DH9 7RX,20150401
ANN1172451400ND,COMMUNICATION STATION AND PREMISES,Hutchison (DH0043),Rooftop Classic House,Morrison Road,Annfield Plain,Stanley Co Durham,DH9 7UB,20090918
ANN12290001B0ND,SHOP AND PREMISES,1B North Road,Catchgate,Stanley,Co Durham,,DH9 8LD,20081112
ANN1229000500ND,SHOP AND PREMISES,5 North Road,Catchgate,Stanley,Co Durham,,DH9 8LD,20000110
ANN1229001300ND,CAFE AND PREMISES,13 North Road,Catchgate,Stanley,Co Durham,,DH9 8LD,20050401
